"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","105",95.28,60.88,125.76,133.53,2.42983339404189e-08,0.889154512148255,NA
"TD","106",87.22,112.26,228.52,236.29,0.0119496567475116,0.750070783707391,NA
"TD","107",81.11,123.38,250.76,258.53,0.0214141859378136,0.709709435797359,NA
"TD","108",78.33,169.2,342.4,350.17,1.14583172786163e-07,0.432356979283171,NA
"TD","109",73.06,191.29,386.58,394.35,0.0336601060374983,0.654669439800162,NA
"TD","110",96.39,48.77,101.54,109.31,0.0023081109098457,1.15251201957824,NA
"TD","111",91.39,111.15,226.3,234.07,4.43984284203816e-08,0.689450942834487,NA
"TD","113",91.94,111.91,227.82,235.59,3.73626983321385e-08,0.690276298423529,NA
"TD","114",86.94,89.11,182.22,189.99,0.000984142226225903,0.616917980771465,NA
"TD","115",56.39,230.51,465.02,472.79,0.397481495234168,0.0428988479819162,NA
"TD","116",91.39,109.06,222.12,229.89,4.29266726145858e-09,0.710229396082245,NA
"TD","117",69.72,194.21,392.42,400.19,2.09302223398532e-08,0.223294970224546,NA
"TD","118",91.11,109.06,222.12,229.89,4.11823233091767e-08,0.706211585603044,NA
"TD","119",98.89,32.27,68.54,76.31,0.00177182587486075,1.97220036368969,NA
"TD","120",93.06,54.18,112.36,120.13,2.50667544349858e-08,0.754856622376726,NA
"TD","121",80.56,148.2,300.4,308.17,1.06049199999967e-09,0.42088716855649,NA
"TD","122",82.5,181.82,367.64,375.41,7.59667947358889e-10,0.468585508552746,NA
"TD","123",86.67,223.56,451.12,458.89,2.11897233662845e-08,0.580780135790156,NA
"TD","124",91.67,94.15,192.3,200.07,4.54197324422944e-08,0.66156982544453,NA
"TD","125",91.11,197.61,399.22,406.99,9.74334052134159e-08,0.72229434135309,NA
"TD","126",89.17,137.53,279.06,286.83,5.81644657165428e-09,0.674561115074607,NA
"TD","127",94.17,202.49,408.98,416.75,5.14722936273167e-10,0.858686407454195,NA
"TD","128",54.44,264.78,533.56,541.33,1.24311869725139e-07,0.0320522071922623,NA
"TD","129",98.06,22.41,48.82,56.59,3.15214260326293e-08,1.05642666864769,NA
"RSTD","1",55.83,225.45,456.9,468.56,0.864636719993908,0.451672767423422,0.0267552606786758
"RSTD","2",68.33,200.7,407.4,419.06,1.08448970454561e-07,5.22598206968659e-07,0.152979740821996
"RSTD","3",88.61,103.68,213.36,225.02,9.45040399297382e-07,1.78813877986167e-07,0.59657248515185
"RSTD","4",91.39,181.15,368.3,379.96,0.00412822280979491,0.0154594697141018,0.823249781279814
"RSTD","5",95.83,164.7,335.4,347.06,6.79143914268504e-08,0.559353567577897,1.00054850585345
"RSTD","6",88.33,252.21,510.42,522.08,0.0379331337148092,0.296177115471319,0.856095420092446
"RSTD","7",61.67,202.27,410.54,422.2,0.211824276550743,0.438317920118887,0.0586628088274951
"RSTD","8",86.39,114.4,234.8,246.46,0.156864046508885,0.859028267651012,0.70083743303363
"RSTD","9",61.94,202.94,411.88,423.54,0.298810662283684,0.421494658247477,0.0798923012630204
"RSTD","10",96.11,116.1,238.2,249.86,1.04821919826554e-07,0.076517089581762,0.912435284794088
"RSTD","11",86.11,199.27,404.54,416.2,1.04268678340813e-06,0.0502584346228661,0.633809473710936
"RSTD","12",63.61,233.74,473.48,485.14,0.0669269411740133,0.285156872424109,0.0897273495023657
"RSTD","13",92.5,102.39,210.78,222.44,0.00412822280979491,0.0154594697141018,0.823249781279814
"RSTD","14",84.44,100.45,206.9,218.56,5.53861524528816e-07,5.36960586633399e-07,0.472060612797803
"RSTD","15",90.83,214.99,435.98,447.64,1.41031631991806e-06,0.555338454598474,0.775876220051801
"RSTD","16",96.39,30.47,66.94,78.6,2.50347822485543e-08,0.996323911334079,0.950307218858038
"RSTD","17",66.11,214.08,434.16,445.82,5.42815755895179e-06,0.156100343723971,0.0583745042267054
"RSTD","18",60.83,220.77,447.54,459.2,0.215408548478554,0.669787480708749,0.0282870582692216
"RSTD","19",56.11,270.82,547.64,559.3,0.555090976027822,0.432022628851379,0.0351941676963694
"RSTD","20",97.22,49.57,105.14,116.8,1.68704810550452e-07,0.472223818200498,1.0116602344621
"RSTD","21",96.11,53.46,112.92,124.58,0.0485612939841947,0.906386295817318,1.27344913653303
"RSTD","22",96.94,35.2,76.4,88.06,0.0343917026119279,0.931819198542354,0.993885130287079
"RSTD","23",95.28,142.32,290.64,302.3,0.00059466354434555,0.903139504519842,0.989290310517365
"RSTD","24",46.67,248.12,502.24,513.9,2.28465020157976e-07,1.63894062789284e-06,1.23072426485228e-05
"RSTD","25",89.17,186.02,378.04,389.7,0.0474514412637356,0.508838559057621,0.81670227072676
"RSTD","26",53.33,224.9,455.8,467.46,0.928423994013388,0.925321997536524,0.0206825782391947
"RSTD","27",92.5,143.15,292.3,303.96,0.0151604843096942,0.881183595098874,0.799413236384631
