"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"RSTD","129",98.33,95.82,197.64,209.3,0.0246136845089495,0.102864644257352,5.21135725779459
"Utility","1",55.28,255.65,517.3,528.96,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","2",57.78,215.99,437.98,449.64,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","3",53.61,245.17,496.34,508,0.388839715550563,0.324695854667962,0.456853380668224
"Utility","4",53.06,223.3,452.6,464.26,0.402469515447271,0.241971732722309,0.545559781382478
"Utility","5",54.72,276.81,559.62,571.28,0.41593980203147,0.293188829387069,0.450670900804465
"Utility","6",51.67,277.55,561.1,572.76,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","7",59.44,228.05,462.1,473.76,0.388250038320112,0.236155540454981,0.588308856446294
"Utility","8",76.39,206.33,418.66,430.32,0.0458311666734517,0.59998895926401,8.47453165100887
"Utility","9",56.94,246.43,498.86,510.52,0.395763794207412,0.243529558224838,0.639055208021774
"Utility","10",55.83,271.31,548.62,560.28,0.384536027843216,0.28025213668947,0.692634519485251
"Utility","11",53.89,248.33,502.66,514.32,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","12",52.78,260.59,527.18,538.84,0.442460872412311,0.127151221220909,0.729951846296334
"Utility","13",56.11,247.2,500.4,512.06,0.394846818571118,0.213004667020524,0.512150921886185
"Utility","14",56.67,248.77,503.54,515.2,0.432029163735999,0.172720495405443,0.601020763638924
"Utility","15",52.5,273.29,552.58,564.24,0.433893134202686,0.201143797880276,0.549161125186956
"Utility","16",53.06,217.94,441.88,453.54,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","17",57.22,232.81,471.62,483.28,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","18",51.67,258.89,523.78,535.44,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","19",54.44,252.4,510.8,522.46,0.474643107290299,0.25171604091309,0.556319879050602
"Utility","20",50.83,244.57,495.14,506.8,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","21",50.83,267.08,540.16,551.82,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","22",65.83,201.9,409.8,421.46,0.0495800201466794,0.722270174440791,2.83373622008374
"Utility","23",59.44,265.83,537.66,549.32,0.373738249187592,0.22872174031035,0.603481240420477
"Utility","24",53.06,245.02,496.04,507.7,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","25",52.78,279.42,564.84,576.5,0.413724326295778,0.343516472261399,0.104671118315309
